filename,source_device,capture_date,year_guess,gps_lat,gps_lon,camera_model,archival_box,is_separator,document_date,description,file_path,notes
IMG_2381.HEIC,iphone,2024-10-01 13:43:44 +0000,2024,,,iPhone 15,FORSKNINGSRAPPORT NR. 8,,1974-77,"Page 3 of a Norwegian research document discussing research tasks and strategy, specifically regarding NKIF and labor research in the period 1974-77, with sections on NKIF and labor research, highlighting new technology consequences and NKIF's role in promoting research collaboration.",public/images/primary/raw/iphone/IMG_2381.HEIC,
IMG_2383.HEIC,iphone,2024-10-01 13:44:12 +0000,2024,,,iPhone 15,,,,"A Norwegian research document discussing a research project (forskningsprosjekt) involving NKIF, with references to industrial experiences, product development, and technology from the 1970s, containing numbered footnotes and citations.",public/images/primary/raw/iphone/IMG_2383.HEIC,
IMG_2385.HEIC,iphone,2024-10-01 13:45:15 +0000,2024,,,iPhone 15,670492,Y,,,public/images/primary/raw/iphone/IMG_2385.HEIC,
IMG_2386.HEIC,iphone,2024-10-01 13:45:18 +0000,2024,,,iPhone 15,670492,,,"A title page of a Norwegian report on working conditions and labor processes in industry ('Fagbevegelsen og EDB i prosessindustrien - Slutrapport'), authored by Max Elden, Jostein Fjalestad, Morten Levin, Gunnar Myrvang, and Bente Rasmussen, published by the Institute for Industrial Environmental Research (Institutt for industriell miljøforskning) under the Norwegian Employers' Confederation (Norsk Regnesentral).",public/images/primary/raw/iphone/IMG_2386.HEIC,
IMG_2387.HEIC,iphone,2024-10-01 13:45:27 +0000,2024,,,iPhone 15,,,September 1980,"A research report titled 'Pagbevegelsen og EDB i prosessindustrien' (SLUTRAPPORT/Final Report) from the Institute for Industrial Environmental Research (IFIM), dated September 1980, presenting results from a research project by authors Max Bliden, Jostein Fjælestad, Morten Levin, Gunnar Myrvang, and Bente Rasmussen.",public/images/primary/raw/iphone/IMG_2387.HEIC,
IMG_2388.HEIC,iphone,2024-10-01 13:46:37 +0000,2024,,,iPhone 15,670492,,,"A Norwegian computing center publication from Oslo 3 titled 'Databehandling, Planlegging og Styring' (Data Processing, Planning and Control), a textbook for business use by Kristen Nygaard in collaboration with Olav Terje Bergo, Part 1 on data processing systems and language.",public/images/primary/raw/iphone/IMG_2388.HEIC,
IMG_2389.HEIC,iphone,2024-10-01 13:46:43 +0000,2024,,,iPhone 15,670492,,Mai 1972,"A Norwegian research report cover page titled 'Databehandling, planlegging og styring' (Data handling, planning and control) authored by Kristen Nygaard and Olav Terje Bergø, Part I on data handling systems and language, published by Norsk Regnesentral in Oslo in May 1972.",public/images/primary/raw/iphone/IMG_2389.HEIC,
IMG_2390.HEIC,iphone,2024-10-01 13:46:49 +0000,2024,,,iPhone 15,670492,,mai 1972,"A foreword (forord) written by Leif Skau for the Norwegian Association of Iron and Metal Workers (Norsk Jern- og Metallarbeiderforbund) dated May 1972, discussing technological and administrative developments in electronic data processing within the industry.",public/images/primary/raw/iphone/IMG_2390.HEIC,
IMG_2392.HEIC,iphone,2024-10-01 13:47:30 +0000,2024,,,iPhone 15,670492,,,"Introduction page (page 111) from a Norwegian research project document by NJMF (Norsk Jern- og Metaallarbeiderforbund) concerning data handling, planning and management in industry, with instructions for readers on which chapters to read depending on their background and interests.",public/images/primary/raw/iphone/IMG_2392.HEIC,
IMG_2394.HEIC,iphone,2024-10-01 13:48:09 +0000,2024,,,iPhone 15,670492,,,"A typewritten Norwegian document (page IV) discussing database systems, data handling, and programs, with references to chapters and mentions of Norsk Jern- og Metallarbeiderforbund, a research project steering committee, and work by Olav Terje Bergo on research methodology.",public/images/primary/raw/iphone/IMG_2394.HEIC,
IMG_2395.HEIC,iphone,2024-10-01 13:48:11 +0000,2024,,,iPhone 15,670492,,,"A page of Norwegian text discussing contributions to a book project by the Norwegian Computing Centre (Norsk Regnesentral), mentioning various contributors including Per Fersnes, Håvard Hegna, Øystein Myhre, Roar B. Sletner, Jon Bing, and others, with details about chapters and organizational involvement.",public/images/primary/raw/iphone/IMG_2395.HEIC,
IMG_2397.HEIC,iphone,2024-10-01 13:50:38 +0000,2024,,,iPhone 15,670492,,mars 1972,"Norwegian language document (page VI) discussing Svein Aarset's work at Grafisk kontor and Norges Teknisk-Naturvitenskapelige universitet, mentioning research on dataskin techniques and work with Norsk Regnesentral, referencing John O.E. Clark's 'Datamaskiner' and an NJMF research project from March 1972.",public/images/primary/raw/iphone/IMG_2397.HEIC,
IMG_2398.HEIC,iphone,2024-10-01 13:50:43 +0000,2024,,,iPhone 15,670492,,1970,"Page VII of a Norwegian document discussing NJMF's role in EDB (data processing) development and land management cooperation, with quotes about business economics methods and references to debates on modernization efforts.",public/images/primary/raw/iphone/IMG_2398.HEIC,
IMG_2400.HEIC,iphone,2024-10-01 13:51:19 +0000,2024,,,iPhone 15,670492,,,"A page of Norwegian text (page VIII) discussing development characteristics, business methods, and the use of new methodologies in enterprises, with references to long-term planning, information systems, and structural organization.",public/images/primary/raw/iphone/IMG_2400.HEIC,
IMG_2402.HEIC,iphone,2024-10-01 13:52:34 +0000,2024,,,iPhone 15,,,,"Page IX of a Norwegian research document discussing work methods, employee participation in company management, and a research project funded by NJMF (Norwegian Technical-Natural Scientific Research Council) with budgets allocated for 1971-1972, mentioning Norsk Regnesentral and data processing.",public/images/primary/raw/iphone/IMG_2402.HEIC,
IMG_2404.HEIC,iphone,2024-10-01 13:53:16 +0000,2024,,,iPhone 15,670492,,17.5.1972,"A typed Norwegian document dated May 17, 1972, signed by Kristen Nygaard, discussing Norwegian labor research funding and references to Marx and Engels in connection with liberation work.",public/images/primary/raw/iphone/IMG_2404.HEIC,
IMG_2406.HEIC,iphone,2024-10-01 13:53:39 +0000,2024,,,iPhone 15,Del I,Y,,,public/images/primary/raw/iphone/IMG_2406.HEIC,
IMG_2407.HEIC,iphone,2024-10-01 13:53:43 +0000,2024,,,iPhone 15,Del I,,,"A table of contents (innholdsfortegnelse) in Norwegian for a document about data handling, systems and language, with sections covering data representation, database handling, electronic data processing, data machines, numerical styling, systems and models.",public/images/primary/raw/iphone/IMG_2407.HEIC,
IMG_2408.HEIC,iphone,2024-10-01 13:53:54 +0000,2024,,,iPhone 15,Del I,,,"A table of contents page in Norwegian from section 3 'Beskrivelse av systemer' (Description of Systems), listing subsections 3.1 through 3.30 covering topics related to system design, objects, handlers, variables, and programming concepts, with page numbers ranging from 52 to 154.",public/images/primary/raw/iphone/IMG_2408.HEIC,
IMG_2409.HEIC,iphone,2024-10-01 13:53:57 +0000,2024,,,iPhone 15,Del I,,,"Table of contents page in Norwegian listing subsections 4.1-4.9 of Chapter 4 on data machines (Datamaskinen), covering topics such as representation and code, processing units, input/output units, external storage, data networks, machine types, and programming, with page references ranging from 164 to 181.",public/images/primary/raw/iphone/IMG_2409.HEIC,
IMG_2410.HEIC,iphone,2024-10-01 13:54:18 +0000,2024,,,iPhone 15,Del I,,,"A page from a Norwegian text about data processing, planning and management, featuring a humorous illustration of a wizard casting a spell on a computer while a small figure watches, with the heading 'Hva er databehandling, planlegging og styring?' (What is data processing, planning and management?)",public/images/primary/raw/iphone/IMG_2410.HEIC,
IMG_2412.HEIC,iphone,2024-10-01 13:54:47 +0000,2024,,,iPhone 15,Del I,,,"A Norwegian-language document (page 2) discussing data handling procedures and operational planning for a machine or system, with sections on data description and individual operations, typed on standard paper with pink folder dividers visible.",public/images/primary/raw/iphone/IMG_2412.HEIC,
IMG_2413.HEIC,iphone,2024-10-01 13:54:52 +0000,2024,,,iPhone 15,Del I,,,"A Norwegian technical document (page 3) describing data registration procedures and time-consumption control, with hand-drawn sketches illustrating an operator at a data collection station and a data form template labeled 'Figure 1.2'.",public/images/primary/raw/iphone/IMG_2413.HEIC,
IMG_2414.HEIC,iphone,2024-10-01 13:54:56 +0000,2024,,,iPhone 15,Del I,,,"A Norwegian language document discussing data handling procedures, representation, and control within an archival or administrative context, with sections on how data can be used and transferred between different representations.",public/images/primary/raw/iphone/IMG_2414.HEIC,
IMG_2415.HEIC,iphone,2024-10-01 13:54:59 +0000,2024,,,iPhone 15,Del I,,,"Page 5 of a Norwegian technical or instructional document discussing data handling procedures, with a diagram labeled 'figur 1.3' showing four illustrated items including what appears to be a storage unit, machine, person, and a numbered container or form.",public/images/primary/raw/iphone/IMG_2415.HEIC,
IMG_2417.HEIC,iphone,2024-10-01 13:55:34 +0000,2024,,,iPhone 15,Del I,,,"Page 6 of a Norwegian text discussing regulations regarding electronic data processing (EDB), data machine operations, and the responsibilities of data processing entities in relation to personal data handling.",public/images/primary/raw/iphone/IMG_2417.HEIC,
IMG_2418.HEIC,iphone,2024-10-01 13:55:38 +0000,2024,,,iPhone 15,Del I,,,"A Norwegian-language instructional document (section 1.4) about ""Mennesket som databehandler"" (Humans as data processors) featuring a diagram of a human head with labeled inputs/outputs (INN-GANG, BEARBEIDING, LAGER, UTGANG) and a calculation example, with accompanying explanatory text about data handling in educational contexts.",public/images/primary/raw/iphone/IMG_2418.HEIC,
IMG_2419.HEIC,iphone,2024-10-01 13:55:45 +0000,2024,,,iPhone 15,Del I,,,"Page 8 of a Norwegian instructional document explaining rules for finding the 'summer' of a 'listen' (likely a bridge or card game term), with examples of gameplay sequences and a rule about claiming the contract.",public/images/primary/raw/iphone/IMG_2419.HEIC,
IMG_2420.HEIC,iphone,2024-10-01 13:55:49 +0000,2024,,,iPhone 15,Del I,,,"Page 9 of a Norwegian-language technical or instructional document discussing rules and programs, including references to database handling, English-language regulations, and specific numbered rules (Rule nr. 2) with examples involving terms like 'summer' and 'listen'.",public/images/primary/raw/iphone/IMG_2420.HEIC,
IMG_2421.HEIC,iphone,2024-10-01 13:55:53 +0000,2024,,,iPhone 15,Del I,,,"Page 10 of a Norwegian-language instructional or procedural document discussing rules and regulations (omgjøren, neste, listen, summer) with guidance on how individuals should conduct themselves according to listed requirements and conditions.",public/images/primary/raw/iphone/IMG_2421.HEIC,
IMG_2422.HEIC,iphone,2024-10-01 13:55:56 +0000,2024,,,iPhone 15,Del I,,,"Page 11 of a Norwegian technical or instructional document discussing physical units, data handling procedures, and specific measurements (pi × radius × radius), with references to storing data in libraries or banks and calculations involving the value 3.14.",public/images/primary/raw/iphone/IMG_2422.HEIC,
IMG_2423.HEIC,iphone,2024-10-01 13:56:03 +0000,2024,,,iPhone 15,Del I,,,"Page 12 of a Norwegian text discussing data handling procedures, database management, information retrieval, and security protocols, including sections on access control, confidentiality of records, and handling of sensitive information.",public/images/primary/raw/iphone/IMG_2423.HEIC,
IMG_2424.HEIC,iphone,2024-10-01 13:56:05 +0000,2024,,,iPhone 15,Del I,,,"Page 13 of a Norwegian academic or technical document discussing data handling regulations, external storage of data, and an experiment involving list processing with a diagram labeled Fig. 1.5 showing numerical calculations.",public/images/primary/raw/iphone/IMG_2424.HEIC,
IMG_2425.HEIC,iphone,2024-10-01 13:56:11 +0000,2024,,,iPhone 15,Del I,,,"Page 14 of a Norwegian-language typed document discussing figures 1.5 and representation forms, with instructions for summarizing rules and principles related to monument/building recording procedures.",public/images/primary/raw/iphone/IMG_2425.HEIC,
IMG_2426.HEIC,iphone,2024-10-01 13:56:14 +0000,2024,,,iPhone 15,Del I,,,"Page 15 of a Norwegian technical document about Electronic Data Processing (EDB), describing data handling requirements, system components like storage and robustness, and including a flow diagram showing data processing stages (LAGERENHET, INNGANGSSENHET, BEARBEIDINGSENHET, UTGANGSSENHET).",public/images/primary/raw/iphone/IMG_2426.HEIC,
IMG_2427.HEIC,iphone,2024-10-01 13:56:19 +0000,2024,,,iPhone 15,Del I,,,"Page 17 of a Norwegian technical or administrative document discussing data storage and representation formats for computers, including specifications for punch cards, magnetic tape, and magnetic bands, with storage capacity measurements.",public/images/primary/raw/iphone/IMG_2427.HEIC,
IMG_2428.HEIC,iphone,2024-10-01 13:56:28 +0000,2024,,,iPhone 15,Del I,,1972,"Norwegian typewritten document discussing data processing operations, storage capacity, and computational efficiency of a data machine, likely a technical report or manual page numbered 18.",public/images/primary/raw/iphone/IMG_2428.HEIC,
IMG_2429.HEIC,iphone,2024-10-01 13:56:30 +0000,2024,,,iPhone 15,Del I,,,"Page 19 of a Norwegian technical document discussing data storage systems, programmer access to storage facilities, warehouse capacity specifications for magnetic tape and magnetic plate storage systems, and storage location addressing procedures.",public/images/primary/raw/iphone/IMG_2429.HEIC,
IMG_2430.HEIC,iphone,2024-10-01 13:56:56 +0000,2024,,,iPhone 15,Del I,,,"A page (67) from a Norwegian technical or systems documentation manual discussing local transaction control (LHK), customer representation, and decision points in a business process, with a hierarchical diagram labeled 'figure 3.13' showing KUNDE (customer), VED (decision), and Oppdragtiste (task list) elements.",public/images/primary/raw/iphone/IMG_2430.HEIC,
IMG_2431.HEIC,iphone,2024-10-01 13:57:08 +0000,2024,,,iPhone 15,Del I,,,"A Norwegian technical document page 170 describing a punch-card data processing system (called 'punche-dame'), with technical illustration (fig. 4.2) showing equipment and accompanying text explaining data input methods and machine operation, plus a smaller illustration (fig. 4.3) of what appears to be data storage media.",public/images/primary/raw/iphone/IMG_2431.HEIC,
IMG_2432.HEIC,iphone,2024-10-01 13:57:12 +0000,2024,,,iPhone 15,Del I,,,"Page 171 from a Norwegian technical manual describing data transmission on 8-channel tape bands (~2000 characters per second), including binary code examples and an illustration of a data terminal (typewriter-like device) for use in verkstad (workshop) environments.",public/images/primary/raw/iphone/IMG_2432.HEIC,
IMG_2433.HEIC,iphone,2024-10-01 13:57:20 +0000,2024,,,iPhone 15,Del I,,,"Norwegian technical document (page 178) describing data network configurations, user terminals, and administrative requirements for computer systems, including discussion of modem connections, telephone equipment, and data-link infrastructure for mainframe computers.",public/images/primary/raw/iphone/IMG_2433.HEIC,
IMG_2434.HEIC,iphone,2024-10-01 13:57:22 +0000,2024,,,iPhone 15,Del I,,,"A technical diagram (fig. 4.12) illustrating batch processing workflow with various machines and human operators, accompanied by explanatory text in Norwegian describing how common forms are group-processed by programmers, with data stored and retrieved through magnetic tape archives and tape readers.",public/images/primary/raw/iphone/IMG_2434.HEIC,
IMG_2435.HEIC,iphone,2024-10-01 13:57:27 +0000,2024,,,iPhone 15,Del I,,,"A page numbered 180 from a Norwegian technical document discussing program execution, data storage in magnetic tape storage systems, and machine coordination, with references to turnaround time and data processing operations.",public/images/primary/raw/iphone/IMG_2435.HEIC,
IMG_2436.HEIC,iphone,2024-10-01 13:57:29 +0000,2024,,,iPhone 15,Del I,,,"A page numbered 181 from a Norwegian technical or academic document discussing data processing systems, machine automation, control processes, and programming procedures, with a section heading '4.9 Maskinutstyr og programutstyr' (Machine Equipment and Program Equipment).",public/images/primary/raw/iphone/IMG_2436.HEIC,
IMG_2437.HEIC,iphone,2024-10-01 13:57:34 +0000,2024,,,iPhone 15,Del I,,,"Page 182 of a Norwegian text discussing physical computer equipment (maskin-utstyret) versus software, and describing how data-programs (program-utstyr) have become a specialized branch within the computer industry, with details about compilation and programming requirements.",public/images/primary/raw/iphone/IMG_2437.HEIC,
IMG_2438.HEIC,iphone,2024-10-01 13:57:51 +0000,2024,,,iPhone 15,Del I,,Juli 1973,"Research report no. 1 from the Norwegian Iron and Metal Workers' Union on planning, governance and data handling for a basic handbook for union members, authored by Kristen Nygaard and Olav Terje Bergo.",public/images/primary/raw/iphone/IMG_2438.HEIC,
IMG_2439.HEIC,iphone,2024-10-01 13:57:54 +0000,2024,,,iPhone 15,Del I,,,"A table of contents (Innholdsfortegnelse) in Norwegian, listing sections on work conditions, data processing, and planning/control, with page numbers ranging from 1 to 96.",public/images/primary/raw/iphone/IMG_2439.HEIC,
